text,label,emotion,source_model,persona_type,news_title
저는 회의때 12시간을 자야 하는데...,3,상처,llama3-8b,직장인,'백인들의 잔치' 골든글로브 뚫었다…또 새 역사 (2020.01.06뉴스데스크MBC)
이젠 저도 저녁시간에 골든글로브를 시청하고 싶어요..,3,상처,llama3-8b,직장인,'백인들의 잔치' 골든글로브 뚫었다…또 새 역사 (2020.01.06뉴스데스크MBC)
다시봐도 너무 아픈 뉴스다. 백인들의 잔치란건 말도 안 돼...,3,상처,llama3-8b,대학생,'백인들의 잔치' 골든글로브 뚫었다…또 새 역사 (2020.01.06뉴스데스크MBC)
내가 공부해왔던 건 무의미한 것일까? 아니라고 생각하는데...왜냐면 그래야지...,3,상처,llama3-8b,대학생,'백인들의 잔치' 골든글로브 뚫었다…또 새 역사 (2020.01.06뉴스데스크MBC)
오늘 저녁 야근중 이 뉴스 보다니...,4,당황,llama3-8b,직장인,'경영 논리'에 짓눌린 이국종…'외상센터' 지킬까 (2020.01.13뉴스데스크MBC)
아이가 아파하면 어떻게해야 했을까..,4,당황,llama3-8b,직장인,'경영 논리'에 짓눌린 이국종…'외상센터' 지킬까 (2020.01.13뉴스데스크MBC)
집에 돌아와서 아이들하고 지내야 하는데..,4,당황,llama3-8b,직장인,'경영 논리'에 짓눌린 이국종…'외상센터' 지킬까 (2020.01.13뉴스데스크MBC)
이국종 선생님도 이렇구낭... 어떻게해야하나요..,4,당황,llama3-8b,직장인,'경영 논리'에 짓눌린 이국종…'외상센터' 지킬까 (2020.01.13뉴스데스크MBC)
어떻게 저런 기사를 내고서 잠을 방치하냐고요.,4,당황,llama3-8b,직장인,'경영 논리'에 짓눌린 이국종…'외상센터' 지킬까 (2020.01.13뉴스데스크MBC)
"백인들이 주조정을 잡고 있지만, 이번엔 우리 영화도 한번 뚫어보도록 해야 하는 거 아니야? 🤯",4,당황,qwen2.5-7b,직장인,'백인들의 잔치' 골든글로브 뚫었다…또 새 역사 (2020.01.06뉴스데스크MBC)
"이런 경우도 종종 있지만, 그래도 우리의 영화들이 이런 큰 무대에서도 인정받는 날이 올 거라고 믿는다. 🤔",4,당황,qwen2.5-7b,직장인,'백인들의 잔치' 골든글로브 뚫었다…또 새 역사 (2020.01.06뉴스데스크MBC)
이런 결과보니 직장에서 스트레스받는 나도 우리 업계에 힘을 얹어야겠다는 생각이들어. 🤯,4,당황,qwen2.5-7b,직장인,'백인들의 잔치' 골든글로브 뚫었다…또 새 역사 (2020.01.06뉴스데스크MBC)
백인들만의 카르텔이란 말인가 보네. 우리 한국 영화도 주목받는 날을 위해 힘을 모아야죠. 🤯,4,당황,qwen2.5-7b,직장인,'백인들의 잔치' 골든글로브 뚫었다…또 새 역사 (2020.01.06뉴스데스크MBC)
이런 영화상에서 격리되고 있는 아시아계 배우들이 처음으로 큰 성과를 거두는 것을 보니 정말 당황스럽네요.,4,당황,qwen2.5-7b,대학생,'백인들의 잔치' 골든글로브 뚫었다…또 새 역사 (2020.01.06뉴스데스크MBC)
선배들이 많이 말해주던 검찰개혁이よう야 근데 언제나왔었어,5,기쁨,llama3-8b,직장인,'검찰개혁' 입법 완성‥패스트트랙 정국 마무리 - [LIVE] MBC 뉴스투데이 2020년 1월 14일
열받던 직업인俺에게도 희망이다! 이제 더은 양키들에 의한 무죄추정의 시대가 말라가겠어.,5,기쁨,llama3-8b,직장인,'검찰개혁' 입법 완성‥패스트트랙 정국 마무리 - [LIVE] MBC 뉴스투데이 2020년 1월 14일
근데 선배들아 이제 검찰개혁은 끝났는데도 우리야 계속 야근중이야...😩,5,기쁨,llama3-8b,직장인,'검찰개혁' 입법 완성‥패스트트랙 정국 마무리 - [LIVE] MBC 뉴스투데이 2020년 1월 14일
근데 대화가 잘되고 나서는 이런 뉴스도 기발한 건가? 검찰개혁 끝나고도 야근 못지 않게 피곤하다..,5,기쁨,llama3-8b,직장인,'검찰개혁' 입법 완성‥패스트트랙 정국 마무리 - [LIVE] MBC 뉴스투데이 2020년 1월 14일
이제는 더은 검찰의 양해를 구하는 나날이 말라가겠군요. 일년의 기다림이 모두 바뀐 것 같아요.,5,기쁨,llama3-8b,직장인,'검찰개혁' 입법 완성‥패스트트랙 정국 마무리 - [LIVE] MBC 뉴스투데이 2020년 1월 14일
휴… 드디어 상황이 좀 풀리는 건가요? 이국종 교수님 응원합니다! 🙏,5,기쁨,gemma3-27b,직장인,'경영 논리'에 짓눌린 이국종…'외상센터' 지킬까 (2020.01.13뉴스데스크MBC)
힘든 와중에도 외상센터 지키려고 하시는 모습에 감동… 저도 왠지 힘내게 되네요!,5,기쁨,gemma3-27b,직장인,'경영 논리'에 짓눌린 이국종…'외상센터' 지킬까 (2020.01.13뉴스데스크MBC)
진짜 존경합니다. 이런 분 덕분에 아직 희망이 있는 것 같아요. 👍,5,기쁨,gemma3-27b,직장인,'경영 논리'에 짓눌린 이국종…'외상센터' 지킬까 (2020.01.13뉴스데스크MBC)
"야근에 치이는 날이었는데, 이 소식 들으니 기분 조금 나아졌어요. 감사합니다!",5,기쁨,gemma3-27b,직장인,'경영 논리'에 짓눌린 이국종…'외상센터' 지킬까 (2020.01.13뉴스데스크MBC)
"교수님, 푹 쉬시면서 계속 외상센터 운영해주시면 좋겠어요! 🙏 응원합니다!",5,기쁨,gemma3-27b,직장인,'경영 논리'에 짓눌린 이국종…'외상센터' 지킬까 (2020.01.13뉴스데스크MBC)
"골든글로브에서 비 UClass이 수상한게 보니, 이제는 다양성이 진짜 인정받는 것 같네😊",5,기쁨,qwen2.5-7b,직장인,'백인들의 잔치' 골든글로브 뚫었다…또 새 역사 (2020.01.06뉴스데스크MBC)
공감각PLUS真的为非白人得到认可感到高兴，这次金球奖真是有进步🌟,5,기쁨,qwen2.5-7b,직장인,'백인들의 잔치' 골든글로브 뚫었다…또 새 역사 (2020.01.06뉴스데스크MBC)
기쁠파_LT văn化行业走在了前面，看来他们也在推动多样性和包容性的发展👏,5,기쁨,qwen2.5-7b,직장인,'백인들의 잔치' 골든글로브 뚫었다…또 새 역사 (2020.01.06뉴스데스크MBC)
"참PLUS이번 골든글로브 참 기쁘네, 세상이 더 평화롭다는 느낌이 들어😊",5,기쁨,qwen2.5-7b,직장인,'백인들의 잔치' 골든글로브 뚫었다…또 새 역사 (2020.01.06뉴스데스크MBC)
족족한 걸 딴 Pipes가 골든글로브에서 뚫어?! 이거 대박.heap,5,기쁨,qwen2.5-7b,대학생,'백인들의 잔치' 골든글로브 뚫었다…또 새 역사 (2020.01.06뉴스데스크MBC)
